,Red,Green,Blue,Yellow,Skip,Reverse,Draw2,Draw4,Cc
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 0, 0)",0.24394999884672183,0.0,0.0,0.0,0.0,0.0,0.05932505875943339,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 0, 1)",0.45238861222068893,0.0,0.0,0.0,0.0,0.0,0.4115470848874973,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 0, 2)",0.5017090018919335,0.0,0.0,0.0,0.0,0.0,0.31894832510651894,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 0, 3)",0.34410848854794723,0.0,0.0,0.0,0.0,0.0,0.24971633791473818,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 0, 4)",0.29413487188772086,0.0,0.0,0.0,0.0,0.0,0.17151964182141186,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 0, 5)",0.25318922289219303,0.0,0.0,0.0,0.0,0.0,0.07405421941985116,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 0, 6)",0.21337464631738493,0.0,0.0,0.0,0.0,0.0,0.05851225339413069,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 0, 7)",0.18413915743196438,0.0,0.0,0.0,0.0,0.0,0.06563786514800143,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 1, 1)",0.8293180478415249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 1, 2)",0.9610318984753925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 1, 3)",0.6335152123829003,0.0,0.0,0.0,0.0,0.0,0.01847034243467872,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 1, 4)",0.5041180084851069,0.0,0.0,0.0,0.0,0.0,0.03603430847188233,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 1, 5)",0.3248785082001103,0.0,0.0,0.0,0.0,0.0,0.05146023984409821,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 1, 6)",0.29513033834916974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 0, 0, 0, 1, 7)",0.14895417380287868,0.0,0.0,0.0,0.0,0.0,0.023038469940910012,0.0,0.0
